Datetime,Tweet Id,Text,Username,Like Count,Reply Count,Retweet Count,Country
2020-06-14 09:30:25+00:00,1272099060976160769,"At the same time, an epidemiological investigation is being carried out under the close instructions of the District Health Officer and tests for coronavirus are being carried out according to need and contact with the affected employee.",PresidentRuvi,31,1,8,Israel
2020-06-14 09:30:24+00:00,1272099057545162753,"Beit HaNasi has been cleaned after receiving information yesterday that one of its workers has coronavirus, disinfecting all offices, including bathrooms and kitchens. The president’s private office was cleaned thoroughly and he will resume working from it tomorrow. https://t.co/WOPHpN3M7h",PresidentRuvi,69,9,17,Israel
2020-06-13 17:57:06+00:00,1271864185870221313,"During Shabbat, Beit HaNasi was informed that one of its members of staff tested positive for coronavirus.
Consultations are now taking place with relevant authorities from the Ministry of Health regarding who will be required to isolate, and the implications for President Rivlin",PresidentRuvi,47,3,15,Israel
2020-06-10 17:27:15+00:00,1270769508899328002,Together with FM @Gabi_Ashkenazi on a video conference this evening with American Jewish leaders in light of current events there and #coronavirus. We stand together with our brothers and sisters in Jewish communities around the world against all forms of antisemitism and racism. https://t.co/fNbn2O9ZDL,PresidentRuvi,94,17,31,Israel
2020-06-03 14:36:01+00:00,1268189700784680961,"A fascinating visit to @ElbitSystemsLtd. I thanked them for the incredible speed with which they sought solutions for @coronavirus, producing a portable ventilator and comms systems for hospitals. Our advanced technological capacity is the heart of our security advantage https://t.co/AJ7SszSnEh",PresidentRuvi,42,0,10,Israel
2020-05-12 15:13:04+00:00,1260226492853825543,"Speaking to President Milo Đukanović of Montenegro today, I said the international community must face #coronavirus together as it crosses boundaries and touches all peoples. We will continue to work together to find solutions to make our world safer again. 
@predsjednik_cg",PresidentRuvi,45,5,16,Israel
2020-05-12 12:26:31+00:00,1260184579970916352,"I spoke to my friend the President of Germany to mark 55 years of diplomatic relations between our countries. Unfortunately #coronavirus kept us apart. Israel-German relations have strengthened in recent years and cooperation, so important right now, will continue to flourish.",PresidentRuvi,91,6,20,Israel
2020-05-11 15:01:19+00:00,1259861146758189064,"Speaking today with Gov @PhilMurphyNJ of New Jersey, expressing our solidarity as we fight coronavirus. Thank you for your important work to combat antisemitism and your commitment to the Jewish community, particularly at this sensitive time. We hope to see you in Israel soon!",PresidentRuvi,183,15,28,Israel
2020-05-11 13:40:17+00:00,1259840755075624963,"I call on the government not to ignore their calls and to pay the full amount promised, a need even greater with #coronavirus. The new government should set out a 5-year plan, with municipal leaders, and ensure it properly answers the needs of Druze and Circassian authorities. https://t.co/pO1z4p4Ck2",PresidentRuvi,29,0,5,Israel
2020-05-07 12:28:53+00:00,1258373235198119936,"Visiting the #Israel Institute for Biological Research today with DM @naftalibennett. They have made a world-class breakthrough, identifying a series of antibodies to fight #coronavirus. The dedication and passion of the scientists is truly inspiring. https://t.co/MQL4lVnKoG",PresidentRuvi,151,7,43,Israel
