Datetime,Tweet Id,Text,Username,Like Count,Reply Count,Country
2021-02-12 13:47:00+00:00,1360223883710717953,Let's be clear: the indiscriminate use of lethal or less-than-lethal weapons against peaceful protestors is unacceptable anywhere and under any circumstances.,mbachelet,1355,838,Chile
2021-02-10 14:57:00+00:00,1359516724115161091,La #COVID19 ha afectado a muchos que nunca habían conocido la pobreza o el hambre. Necesitamos proteger a todos en tiempos de crisis con una asistencia sanitaria universal y derechos sociales.,mbachelet,646,165,Chile
2021-02-10 13:56:48+00:00,1359501573831987201,#COVID19 has affected many who had never known poverty or hunger. We need to protect people at times of crisis through universal healthcare and social rights.,mbachelet,271,71,Chile
2021-02-06 14:38:00+00:00,1358062390831554564,"La mutilación genital femenina es una violación de derechos humanos, salud e integridad de niñas y mujeres. Nunca puede justificarse.

Para erradicar la #MGF, necesitamos:
✔️ esfuerzos coordinados,
✔️ involucrar a toda la comunidad,
✔️ DDHH, igualdad de género y educación sexual.",mbachelet,692,119,Chile
2021-02-06 13:18:00+00:00,1358042258512089090,"Female Genital Mutilation is a violation of the human rights, health and integrity of girls and women. It can never be justified.

To #endFGM, we need:
✔️ Coordinated efforts,
✔️ Entire communities engaged,
✔️ Human rights, gender equality &amp; sexual education.

#Act2EndFGM",mbachelet,688,438,Chile
2021-02-05 16:02:00+00:00,1357721142849654787,Los valores que compartimos son más fuertes que lo que nos divide. La solidaridad y los derechos humanos son principios universales que siempre debemos priorizar.,mbachelet,1266,267,Chile
2021-02-05 14:47:36+00:00,1357702421385015296,Our shared values are stronger than anything that could divide us. Solidarity and human rights are universal principles that we must always put first.,mbachelet,994,246,Chile
2021-02-02 14:52:00+00:00,1356616362743922688,"Los derechos humanos pueden ser fácilmente dados por sentado. Así pues, no olvidemos a quienes luchan y defienden nuestros derechos cada día: nos unimos a los defensores de los derechos humanos en todo el mundo.",mbachelet,1269,231,Chile
2021-02-02 13:39:05+00:00,1356598014182379525,Human rights can easily be taken for granted. Let's not forget those who are fighting and speaking up for our rights every day: we stand with human rights defenders everywhere.,mbachelet,1429,431,Chile
2021-01-31 15:32:00+00:00,1355901656127295489,"En el #DíaMundialDeLaLepra, insto a los Estados a combatir todas las formas de discriminación, ya sea por motivos de género, etnia, creencias, discapacidad, casta, condiciones médicas o cualquier otra característica.

La discriminación nos perjudica a todos.",mbachelet,310,89,Chile
2021-01-31 14:05:00+00:00,1355879759465619460,"On #WorldLeprosyDay, I call on States to tackle all forms of discrimination – whether based on gender, ethnicity, belief, disability, administrative status, caste, medical conditions or any other characteristic.

Discrimination harms us all.

#EndStigma ",mbachelet,358,146,Chile
2021-01-29 17:02:00+00:00,1355199527104331781,"Trabajando juntos, podemos superar esta crisis. Los países deben apoyar iniciativas que garanticen la vacuna #COVID19 como un bien común mundial.",mbachelet,824,257,Chile
2021-01-29 15:54:15+00:00,1355182479909519363,"Working together, we can overcome this crisis. It is essential that countries support initiatives that ensure the #COVID19 vaccine as a global common good.",mbachelet,377,171,Chile
2021-01-27 14:37:00+00:00,1354438260567769097,"En este día, recordamos el horror al que el odio y la mentira pueden conducir.

Las palabras tienen consecuencias.

Debemos asegurarnos de que el discurso público se funda en los hechos, incluida la verdad fundamental de nuestra igualdad en derechos y dignidad como seres humanos.",mbachelet,1296,252,Chile
2021-01-27 13:56:00+00:00,1354427942638678017,"On this day, we are reminded of the horror to which hatred and lies can lead.

Words have consequences.

We need to ensure that public discourse is based on facts – including the fundamental truth of our equal rights and dignity as human beings.

#HolocaustRemembranceDay",mbachelet,558,113,Chile
2021-01-26 14:20:11+00:00,1354071639730909185,"Accountability restores a victim’s dignity. To acknowledge and address needs and grievances is a crucial task, and often a pre-condition, for victims to participate in the pursuit of justice and truth-seeking.",mbachelet,484,72,Chile
2021-01-22 17:31:00+00:00,1352670110134231040,Todos tenemos un papel que desempeñar para acabar con esta pandemia. La información relevante y actualizada debe llegar a todas las personas.,mbachelet,888,195,Chile
2021-01-22 16:13:47+00:00,1352650679542812678,We all have a role to play in ending this pandemic. Relevant and up-to-date information must reach everyone.,mbachelet,336,61,Chile
2021-01-20 14:48:00+00:00,1351904313908592641,"La igualdad es un objetivo universal:
✅Mujeres y niñas
✅LGBTI personas
✅Personas con discapacidad
✅Trabajadores mayores
✅Minorías étnicas y religiosas
✅Pueblos indígenas
✅Migrantes
☑️Toda persona que se enfrente a la discriminación en cualquier lugar

Igualdad para TOD@S.",mbachelet,1351,166,Chile
2021-01-20 13:33:00+00:00,1351885439565758465,"Equality is a universal goal:
✅Women and girls
✅LGBTI people
✅People with disabilities
✅Older workers
✅Ethnic and religious minorities
✅Indigenous Peoples
✅Migrants
☑️Anyone facing discrimination anywhere

We need equality for ALL.",mbachelet,716,80,Chile
2021-01-18 15:05:00+00:00,1351183816879185921,"Mis preocupaciones para hoy y mañana:
🔸 Desigualdad
🔸 Pobreza
🔸 Cambio climático

No podemos permitirnos escoger un solo desafío a abordar.

Llegó el momento de actuar.",mbachelet,4390,2576,Chile
2021-01-18 13:48:00+00:00,1351164438796095488,"My worries for today and tomorrow:
🔸Inequality
🔸Poverty
🔸Climate change

We cannot afford to pick and choose just one single challenge to address.

We must act.",mbachelet,629,112,Chile
2021-01-14 15:51:00+00:00,1349745840978489346,"Tod@s, en todas partes del mundo, pueden y deben tomar posición contra el odio y la violencia.",mbachelet,3067,496,Chile
2021-01-14 14:38:40+00:00,1349727638412165123,"Everyone, everywhere, can -- and must – take a stand against hate and violence.

#StandUp4HumanRights",mbachelet,660,151,Chile
2021-01-13 14:51:00+00:00,1349368353740238848,"El costo económico y humano de la pandemia sigue siendo mucho mayor para los que han sido sistemáticamente excluidos y marginados: los afrodescendientes, los pueblos indígenas, los migrantes. Debemos defender los derechos humanos y ponerle fin.",mbachelet,1369,285,Chile
2021-01-13 13:53:00+00:00,1349353757621022724,"The economic and human cost of the pandemic remains much higher for those systematically excluded and marginalised: people of African descent, indigenous peoples, migrants. We must #StandUp4HumanRights to end it.",mbachelet,274,49,Chile
2021-01-12 15:03:00+00:00,1349008986016681984,"La respuesta más efectiva, sostenible y ética a la crisis ? Un esfuerzo global y coordinado para asegurar el acceso a una vacuna #COVID19 para todos y todas.",mbachelet,607,64,Chile
2021-01-12 13:44:00+00:00,1348989104864727042,"The most effective, sustainable and moral response to the crisis? A global, coordinated effort to ensure access to a #COVID19 vaccine for everyone.",mbachelet,326,39,Chile
2021-01-11 15:14:00+00:00,1348649366245036032,"Nadie debe ser detenido simplemente por ejercer sus derechos. La detención se considera arbitraria si no se ha tenido un juicio justo, o no hay motivos legales suficientes para justificarla.",mbachelet,2250,313,Chile
2021-01-11 13:54:00+00:00,1348629233573253120,"No one should be held in detention simply for exercising their rights. Detention is considered arbitrary if there was no fair trial, or no legal basis to justify it.",mbachelet,1022,351,Chile
2021-01-08 16:50:00+00:00,1347586361956524034,Las democracias no se limitan a las elecciones: se trata también del derecho a participar en los debates y decisiones políticas.,mbachelet,1990,220,Chile
2021-01-08 15:39:06+00:00,1347568521480437760,Democracies are not only about elections: they are also about the right to participate in policy discussions and decisions.,mbachelet,1160,114,Chile
2021-01-07 14:20:00+00:00,1347186225170493441,"La creciente desigualdad es uno de los principales impulsores de tensiones, conflictos y trastornos sociales. Debemos permanecer unidos para afrontarla.
Juntos, defendamos los #DerechosHumanos.",mbachelet,774,148,Chile
2021-01-07 13:15:00+00:00,1347169867649208320,"Growing inequality is one of the main drivers of tension, conflict and social upheaval. We must stand together to address it. #StandUp4HumanRights",mbachelet,728,118,Chile
2020-12-25 14:15:00+00:00,1342473924529979393,"Este año ha sido devastador en muchos sentidos, pero nos ha hecho pensar más en lo que es realmente esencial en nuestras vidas.

¡Cuídate y disfruta de las festividades!",mbachelet,2990,400,Chile
2020-12-25 09:26:23+00:00,1342401293885845504,"This harrowing year has been devastating in many ways but it has pushed us all to give more thought to what is essential in our lives.

Stay safe and happy holidays!",mbachelet,681,152,Chile
2020-12-17 14:39:00+00:00,1339580861419835392,"Las #reparaciones pueden ser verdaderamente transformadoras: facilitar la recuperación y ayudar a los supervivientes, a las familias y a las comunidades a recuperarse y a formar parte de la sociedad en general, con dignidad.",mbachelet,331,116,Chile
2020-12-17 13:28:44+00:00,1339563178020143105,"#Reparations can be truly transformative: facilitating recovery and helping survivors, families and communities heal and become part of wider society, with dignity.

#StandUp4HumanRights",mbachelet,212,49,Chile
2020-12-16 14:24:00+00:00,1339214698713993217,El derecho de reunión pacífica es crucial. Contribuye a elaborar mejores políticas y construir la confianza necesaria para lograr sociedades sanas. Estamos aquí y por su derecho a expresarse.,mbachelet,857,127,Chile
2020-12-16 13:21:15+00:00,1339198907050504194,The right of peaceful assembly is crucial. It helps inform better policies and build the trust needed for healthy societies. We #StandUp4HumanRights and for your right to speak up.,mbachelet,320,66,Chile
2020-12-15 15:46:00+00:00,1338872946916425733,"Los derechos humanos y la salud pública están unidos. Aunque los #HeroesDeLaSalud y otros trabajadores esenciales de todo el mundo han demostrado su incansable labor, hemos sido testigos del enorme daño causado cuando no se respetan los #DerechosHumanos.",mbachelet,343,77,Chile
2020-12-15 14:34:00+00:00,1338854827766341632,"Human rights and public health go hand in hand. Despite the tireless work of #HealthcareHeroes and other essential workers, we have witnessed the massive harm caused when fundamental #HumanRights are not upheld.",mbachelet,246,55,Chile
2020-12-14 17:21:00+00:00,1338534466445340673,"Comprender, reconocer y abordar la discriminación en nuestros sistemas es reconocer que todos nacen libres e iguales en dignidad y derechos.",mbachelet,1087,244,Chile
2020-12-14 16:02:18+00:00,1338514663563210752,"Understanding, recognizing and addressing discrimination in our systems means recognizing that we are all born free and equal in dignity and rights.

#StandUp4HumanRights",mbachelet,439,100,Chile
2020-12-12 14:30:00+00:00,1337766658891538432,"El cambio climático PUEDE y DEBE ser detenido. Al cumplirse 5 años del #AcuerdoDeParis, los Estados deben actualizar y fortalecer sus objetivos climáticos nacionales. Únete a #MidnightClimateSurvival🕛 y ayuda a #ReconstruirMejor para la salud del planeta.",mbachelet,896,511,Chile
