Datetime,Tweet Id,Text,Username,Like Count,Retweet Count,Country
2021-01-25 00:07:38+00:00,1353494703283425280,The TGA has today provisionally approved the Pfizer/BioNTech #COVID19 vaccine for use in Australia. This is an important step in our fight against this terrible virus. Read more: ,ScottMorrisonMP,1085,150,Australia
2021-01-24 01:43:59+00:00,1353156562756399104,"During this #COVID19 pandemic, we have seen the best of Australia as we have come together, helping one another to keep safe. If you know someone who has made an outstanding contribution, nominate them for a #COVID19 award ➡️  ",ScottMorrisonMP,676,89,Australia
2021-01-21 10:27:12+00:00,1352201070483656704,"Spoke to my good friend PM Phuc of Vietnam on our Strategic Partnership, trade and region. We discussed wins for Aussie fruit growers &amp; Vietnamese businesses plus our shared commitment to beat #COVID19. Pleased to partner with Vietnam on vaccines. Cung Chúc Tân Xuân @VNGovtPortal",ScottMorrisonMP,1159,94,Australia
2021-01-21 10:23:54+00:00,1352200240401510404,"Thank you for your heartfelt message @FijiPM. I’m proud of our 600+ ADF personnel deployed over the holidays, working shoulder to shoulder with the RFMF to deliver aid and help rebuild schools for the next generation. Fiji - you are family and Australia stands with you. #Vuvale ",ScottMorrisonMP,377,46,Australia
2021-01-21 02:25:39+00:00,1352079885536161794,"The comeback from the #COVID19 recession continues. Positive news on the jobs front today with 50,000 more jobs created in Dec. Our Government is all about jobs, jobs &amp; more jobs and supporting Australians with practical things that will drive our economic recovery from #COVID19. ",ScottMorrisonMP,836,101,Australia
2021-01-20 20:45:18+00:00,1351994232106483712,"Congratulations to President @JoeBiden and Vice President @KamalaHarris on your inauguration. 

The Australia-US Alliance has never been more important. I wish you both every success for your time in office and look forward to working closely with your new administration.",ScottMorrisonMP,6430,681,Australia
2021-01-19 21:42:47+00:00,1351646310852513793,Congratulations @narendramodi and the Indian Cricket Team on a great win in the test series here in Australia. It was a hard fought contest between the game’s best teams and players. Commiserations to @tdpaine36 and our Australian Men’s Test Team. They’ll be back. #AUSvINDtest,ScottMorrisonMP,45741,4149,Australia
2021-01-19 04:18:46+00:00,1351383573320802304,"On the way back from Bunginderry Station to Quilpie, I caught up with NZ PM Jacinda Ardern - swapping notes on #COVID19 management and vaccines. ",ScottMorrisonMP,1900,142,Australia
2021-01-14 03:25:59+00:00,1349558353354055680,Well done Australia. Please keep being #COVIDSafe and following the advice of local health authorities around wearing masks. ,ScottMorrisonMP,1016,106,Australia
2021-01-09 04:50:09+00:00,1347767594929905668,Former Australian Finance Minister @MathiasCormann outlines his vision for the OECD. ,ScottMorrisonMP,359,62,Australia
